"x","z","phand","response","bhand","pitch","pred","zone","N"
-2,-1.9,"right","benefit","right","slider",-2.8484649212877,14,10632
-2,-1.9,"right","benefit","right","splitter",-4.02464279364577,14,604
-2,-1.9,"right","whiff","left","changeup",-1.21132553728865,14,2301
-2,-1.9,"right","whiff","left","curveball",-0.134796665044433,14,3197
-2,-1.9,"right","whiff","left","cutter",-0.974869737127071,14,1858
-2,-1.9,"right","whiff","left","fastball",-8.13688729921855,14,1975
-2,-1.9,"right","whiff","left","sinker",-4.16066844168725,14,1118
-2,-1.9,"right","whiff","left","slider",1.61666845335594,14,3081
-2,-1.9,"right","whiff","left","splitter",-1.27654792466735,14,610
-2,-1.9,"right","whiff","right","changeup",-1.97120639326319,14,1476
-2,-1.9,"right","whiff","right","curveball",0.145225073138487,14,3107
-2,-1.9,"right","whiff","right","cutter",1.34749710736916,14,3843
-2,-1.9,"right","whiff","right","fastball",-6.8622081198944,14,4170
-2,-1.9,"right","whiff","right","sinker",-2.06085342699061,14,2446
-2,-1.9,"right","whiff","right","slider",1.20426150700225,14,10632
-2,-1.9,"right","whiff","right","splitter",0.127693108443131,14,604
-2,-1.8,"right","barrel","left","changeup",-11.2902966151494,14,2301
-2,-1.8,"right","barrel","left","curveball",-10.3069618403963,14,3197
-2,-1.8,"right","barrel","left","cutter",-6.70216708525558,14,1858
-2,-1.8,"right","barrel","left","fastball",-6.92333031104288,14,1975
-2,-1.8,"right","barrel","left","sinker",-13.5243625558148,14,1118
-2,-1.8,"right","barrel","left","slider",-8.61176630252994,14,3081
-2,-1.8,"right","barrel","left","splitter",-14.0174460438938,14,610
-2,-1.8,"right","barrel","right","changeup",-12.5829185281672,14,1476
-2,-1.8,"right","barrel","right","curveball",-16.1170033661292,14,3107
-2,-1.8,"right","barrel","right","cutter",-11.8163371532697,14,3843
-2,-1.8,"right","barrel","right","fastball",-8.15470676673256,14,4170
-2,-1.8,"right","barrel","right","sinker",-8.9488189702838,14,2446
-2,-1.8,"right","barrel","right","slider",-12.3023516569609,14,10632
-2,-1.8,"right","barrel","right","splitter",-15.7297174006512,14,604
-2,-1.8,"right","benefit","left","changeup",-6.11690810830437,14,2301
-2,-1.8,"right","benefit","left","curveball",-4.27495653680339,14,3197
-2,-1.8,"right","benefit","left","cutter",-4.72512555679333,14,1858
-2,-1.8,"right","benefit","left","fastball",-7.62060545148867,14,1975
-2,-1.8,"right","benefit","left","sinker",-7.36381637165399,14,1118
-2,-1.8,"right","benefit","left","slider",-2.44711096518723,14,3081
-2,-1.8,"right","benefit","left","splitter",-5.47984931439296,14,610
-2,-1.8,"right","benefit","right","changeup",-4.47100868934346,14,1476
-2,-1.8,"right","benefit","right","curveball",-3.53298533535419,14,3107
-2,-1.8,"right","benefit","right","cutter",-4.02660911518239,14,3843
-2,-1.8,"right","benefit","right","fastball",-7.47937790524446,14,4170
-2,-1.8,"right","benefit","right","sinker",-6.98410668177359,14,2446
-2,-1.8,"right","benefit","right","slider",-2.72264131421876,14,10632
-2,-1.8,"right","benefit","right","splitter",-3.87051465799065,14,604
-2,-1.8,"right","whiff","left","changeup",-1.00950296953001,14,2301
-2,-1.8,"right","whiff","left","curveball",0.00024249849551427,14,3197
-2,-1.8,"right","whiff","left","cutter",-0.83378648150688,14,1858
-2,-1.8,"right","whiff","left","fastball",-7.68591918778099,14,1975
-2,-1.8,"right","whiff","left","sinker",-3.95616624079149,14,1118
-2,-1.8,"right","whiff","left","slider",1.79855856069479,14,3081
-2,-1.8,"right","whiff","left","splitter",-1.00578147265548,14,610
-2,-1.8,"right","whiff","right","changeup",-1.69087522542702,14,1476
-2,-1.8,"right","whiff","right","curveball",0.247723374992365,14,3107
-2,-1.8,"right","whiff","right","cutter",1.521546796668,14,3843
-2,-1.8,"right","whiff","right","fastball",-6.42196399114895,14,4170
-2,-1.8,"right","whiff","right","sinker",-1.96268980656198,14,2446
-2,-1.8,"right","whiff","right","slider",1.34553895881802,14,10632
-2,-1.8,"right","whiff","right","splitter",0.383313555507714,14,604
-2,-1.7,"right","barrel","left","changeup",-10.7650773301517,14,2301
-2,-1.7,"right","barrel","left","curveball",-9.79786837901304,14,3197
-2,-1.7,"right","barrel","left","cutter",-6.27185293605433,14,1858
-2,-1.7,"right","barrel","left","fastball",-6.53253194329866,14,1975
-2,-1.7,"right","barrel","left","sinker",-12.8924993806732,14,1118
-2,-1.7,"right","barrel","left","slider",-8.05371296136017,14,3081
-2,-1.7,"right","barrel","left","splitter",-13.7399854886622,14,610
-2,-1.7,"right","barrel","right","changeup",-12.1411670891781,14,1476
-2,-1.7,"right","barrel","right","curveball",-15.224967349959,14,3107
-2,-1.7,"right","barrel","right","cutter",-11.2461924035721,14,3843
-2,-1.7,"right","barrel","right","fastball",-7.75159645014481,14,4170
-2,-1.7,"right","barrel","right","sinker",-8.50846337032715,14,2446
-2,-1.7,"right","barrel","right","slider",-11.6071196087463,14,10632
-2,-1.7,"right","barrel","right","splitter",-14.990253849837,14,604
-2,-1.7,"right","benefit","left","changeup",-5.87711844602377,14,2301
-2,-1.7,"right","benefit","left","curveball",-4.19414138850619,14,3197
-2,-1.7,"right","benefit","left","cutter",-4.44941013418855,14,1858
-2,-1.7,"right","benefit","left","fastball",-7.11118289626491,14,1975
-2,-1.7,"right","benefit","left","sinker",-6.91361027287249,14,1118
-2,-1.7,"right","benefit","left","slider",-2.34795916209092,14,3081
-2,-1.7,"right","benefit","left","splitter",-5.27939600499994,14,610
-2,-1.7,"right","benefit","right","changeup",-4.21527875848579,14,1476
-2,-1.7,"right","benefit","right","curveball",-3.45720419160509,14,3107
-2,-1.7,"right","benefit","right","cutter",-3.80782647010884,14,3843
-2,-1.7,"right","benefit","right","fastball",-6.9562821033407,14,4170
-2,-1.7,"right","benefit","right","sinker",-6.52785119004493,14,2446
-2,-1.7,"right","benefit","right","slider",-2.60476573399655,14,10632
-2,-1.7,"right","benefit","right","splitter",-3.7261634127525,14,604
-2,-1.7,"right","whiff","left","changeup",-0.828646028279595,14,2301
-2,-1.7,"right","whiff","left","curveball",0.118810231785594,14,3197
-2,-1.7,"right","whiff","left","cutter",-0.702480180674932,14,1858
-2,-1.7,"right","whiff","left","fastball",-7.25534290681085,14,1975
-2,-1.7,"right","whiff","left","sinker",-3.76383882811999,14,1118
-2,-1.7,"right","whiff","left","slider",1.96325418042911,14,3081
-2,-1.7,"right","whiff","left","splitter",-0.765470583804923,14,610
-2,-1.7,"right","whiff","right","changeup",-1.43777587744754,14,1476
-2,-1.7,"right","whiff","right","curveball",0.339692237248666,14,3107
-2,-1.7,"right","whiff","right","cutter",1.68111555573102,14,3843
-2,-1.7,"right","whiff","right","fastball",-6.00103092556459,14,4170
-2,-1.7,"right","whiff","right","sinker",-1.87109158419913,14,2446
-2,-1.7,"right","whiff","right","slider",1.47188904167405,14,10632
-2,-1.7,"right","whiff","right","splitter",0.613064337521543,14,604
-2,-1.6,"right","barrel","left","changeup",-10.2698705757253,14,2301
-2,-1.6,"right","barrel","left","curveball",-9.32409983363623,14,3197
-2,-1.6,"right","barrel","left","cutter",-5.86875519352738,14,1858
-2,-1.6,"right","barrel","left","fastball",-6.1640649108541,14,1975
-2,-1.6,"right","barrel","left","sinker",-12.2991843184489,14,1118
-2,-1.6,"right","barrel","left","slider",-7.5327986984983,14,3081
-2,-1.6,"right","barrel","left","splitter",-13.4718486672046,14,610
