"","term","estimate","std.error","statistic","p.value","Response","Hand","Pitch"
"150","zone8",-0.0962393652872226,0.156449276427703,-0.615147397832138,0.538457382753358,"whiff","right","slider"
"151","zone9",-0.168980072627668,0.172315402868492,-0.980644038865349,0.326768309173397,"whiff","right","slider"
"152","zone11",0.899189586585921,0.345117679461448,2.60545790638456,0.00917515467903826,"whiff","right","slider"
"153","zone12",-0.570220186151634,0.239930369880505,-2.37660695657505,0.0174726950069964,"whiff","right","slider"
"154","zone13",-0.111065494613603,0.244919667560774,-0.453477238964664,0.650205129436568,"whiff","right","slider"
"155","zone14",-0.0318185104628084,0.20364515632841,-0.15624486747672,0.875840011860232,"whiff","right","slider"
"156","zone16",-0.116196426403638,1.06177936486124,-0.109435566605519,0.91285702507093,"whiff","right","slider"
"157","zone17",-0.550921242599433,0.22482341894132,-2.45046199009733,0.0142673025179668,"whiff","right","slider"
"158","dist_x",0.483245984306719,0.0902169327547368,5.3564887383222,0.0000000848547864719317,"whiff","right","slider"
"159","dist_z",-0.712538252977505,0.0935362748508322,-7.61777453842193,0.0000000000000258086575519183,"whiff","right","slider"
"160","dist_prop",1.70243252479078,0.236499411016464,7.19846412079338,0.000000000000608945644971053,"whiff","right","slider"
"161","I(dist_x^2)",-0.707693199457185,0.0628429980497132,-11.2612895854738,0.0000000000000000000000000000203754969441536,"whiff","right","slider"
"162","I(dist_z^2)",-0.785738510867337,0.0706987644614456,-11.1138931048198,0.000000000000000000000000000107373910297457,"whiff","right","slider"
"163","release_spin_rate",0.000414268117828657,0.0000908517434347982,4.55982573549582,0.00000511960875063643,"whiff","right","slider"
"164","pred_bwhiff",18.2208597218491,0.928603186298173,19.6217932381705,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000100736208031301,"whiff","right","slider"
"165","(Intercept)",-5.04763181234986,0.197848550412463,-25.512604473608,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000142857910129896,"barrel","right","slider"
"166","dist_x",-0.49623784119182,0.122552782942445,-4.04917643873392,0.0000513981851480299,"barrel","right","slider"
"167","dist_z",-0.224186647879635,0.153754091121921,-1.45808574096323,0.144816911178736,"barrel","right","slider"
"168","I(dist_x^2)",-1.17016796226573,0.15414319983677,-7.5914342215867,0.0000000000000316383770927528,"barrel","right","slider"
"169","I(dist_z^2)",-1.64621129926985,0.205433667708411,-8.01334716764369,0.00000000000000111627958311438,"barrel","right","slider"
"170","pred_bbarrel",159.969752155505,10.9062351336097,14.6677336583848,0.00000000000000000000000000000000000000000000000103752950478076,"barrel","right","slider"
"171","(Intercept)",-3.92615058220405,0.586057370547961,-6.6992597986322,0.0000000000209477885613231,"strike","right","slider"
"172","pitch_speed",-0.019286511309994,0.00651780650925503,-2.95904937997283,0.00308589648999815,"strike","right","slider"
"173","pfx_x",0.263326638116098,0.0992227482277164,2.6538938178951,0.00795688608133597,"strike","right","slider"
"174","pfx_z",0.160529870792513,0.0660560550155999,2.43020675023057,0.0150902120182468,"strike","right","slider"
"175","pfx_total",-0.445423642474456,0.105140301261235,-4.23646914771284,0.0000227062103391706,"strike","right","slider"
"176","zone1",0.917944369731186,0.164734448438728,5.57226723633711,0.0000000251445319544186,"strike","right","slider"
"177","zone2",0.53643367580429,0.12143909404884,4.41730630490829,0.00000999385589858564,"strike","right","slider"
"178","zone3",0.311040700618207,0.141763308196846,2.19408466530923,0.0282293234753453,"strike","right","slider"
"179","zone4",0.271945291840391,0.128572733833857,2.11510857497827,0.0344206945509778,"strike","right","slider"
"180","zone6",-0.229889974932524,0.100912247547572,-2.27811767668884,0.0227195673471839,"strike","right","slider"
"181","zone7",0.214346308069247,0.155010148043562,1.38278887398398,0.166729611465338,"strike","right","slider"
"182","zone8",-0.0945200797945278,0.102149631657295,-0.925310040388946,0.354804657549451,"strike","right","slider"
"183","zone9",-0.112036831249811,0.117083660785799,-0.956895526650634,0.338619989308931,"strike","right","slider"
"184","zone11",-0.72687420907719,0.228129150269591,-3.18623993566017,0.00144135007233034,"strike","right","slider"
"185","zone12",-0.675537254212233,0.163415486987723,-4.13386311581952,0.0000356715982815547,"strike","right","slider"
"186","zone13",-0.793345545457951,0.178969340847509,-4.4328572799177,0.00000929924256794889,"strike","right","slider"
"187","zone14",-0.452328745305435,0.143250963251738,-3.15759653574231,0.00159075556668877,"strike","right","slider"
"188","zone16",-1.89752224654638,1.03845821073944,-1.82724950019437,0.0676622643324657,"strike","right","slider"
"189","zone17",-0.351457512005271,0.172636185160473,-2.03582760867066,0.0417676690587502,"strike","right","slider"
"190","dist_x",0.2302789413965,0.063075305026144,3.65085735694901,0.000261366375697943,"strike","right","slider"
"191","dist_z",-0.255416447856516,0.0594128538021151,-4.29900991975954,0.0000171562794641593,"strike","right","slider"
"192","dist_prop",1.19901705470972,0.158608215320593,7.55961506966185,0.0000000000000404263919802406,"strike","right","slider"
"193","I(dist_x^2)",-0.61554257459603,0.0459401890902432,-13.3987819115607,0.0000000000000000000000000000000000000000614636369312134,"strike","right","slider"
"194","I(dist_z^2)",-0.55138833493646,0.0485981698866933,-11.3458662378033,0.00000000000000000000000000000777524315688301,"strike","right","slider"
"195","release_spin_rate",0.00037251286806811,0.0000760595215476206,4.89764937365378,0.000000969899001636786,"strike","right","slider"
"196","pred_bstrike",12.0920931068442,0.743492113383721,16.2639157688058,0.0000000000000000000000000000000000000000000000000000000000177989922277292,"strike","right","slider"
"197","(Intercept)",-15.3358941916111,1.18749148080093,-12.9145298636311,0.0000000000000000000000000000000000000372713536611775,"whiff","left","slider"
