"term","estimate","std.error","statistic","p.value","Response","BHand","Pitch"
"I(dist_x^2)",-1.27824782656106,0.176790541239244,-7.23029534046877,0.000000000000481944774897778,"barrel","L","FC"
"I(dist_z^2)",-1.36082033371467,0.205224067023831,-6.63090032981684,0.0000000000333645477667117,"barrel","L","FC"
"release_spin_rate",-0.000698019745396927,0.000475782813399876,-1.46709743550629,0.142349551673555,"barrel","L","FC"
"pred",223.063816707615,16.0220062248855,13.9223399102886,0.0000000000000000000000000000000000000000000463478355981222,"barrel","L","FC"
"(Intercept)",-9.55396997774808,1.29003762705623,-7.4059622582866,0.000000000000130202862625793,"benefit","L","FC"
"pitch_speed",-0.0157806087771605,0.00952672467300357,-1.65645689560852,0.0976293272734934,"benefit","L","FC"
"pfx_x",0.0122857343321435,0.00838501775325622,1.46520075373395,0.142866154028187,"benefit","L","FC"
"zone1",1.00101610162305,0.18023986245404,5.55379974215359,0.0000000279525700084898,"benefit","L","FC"
"zone2",0.765209097588814,0.142507256509444,5.3696149679094,0.0000000789049222415087,"benefit","L","FC"
"zone3",0.632702310288698,0.143182581523714,4.41884972009609,0.00000992276125506792,"benefit","L","FC"
"zone4",1.05996069025779,0.174937352874086,6.05908728378163,0.00000000136896097699805,"benefit","L","FC"
"zone6",0.271266464761139,0.137230669070915,1.97671895500969,0.0480734070036963,"benefit","L","FC"
"zone7",1.34519798580538,0.188341141961062,7.1423480382395,0.000000000000917499261076732,"benefit","L","FC"
"zone8",0.42932620313141,0.148264223832677,2.8956830719724,0.00378334279314031,"benefit","L","FC"
"zone9",0.540934567065914,0.152353498984799,3.55052276889212,0.000384466877864758,"benefit","L","FC"
"zone11",-0.273871851735823,0.174547290043051,-1.56904098406956,0.116638389605417,"benefit","L","FC"
"zone12",-0.17967367665418,0.1463270278639,-1.22789124659387,0.219487795908154,"benefit","L","FC"
"zone13",-0.233351471159507,0.193609073135481,-1.20527136141091,0.228098561570786,"benefit","L","FC"
"zone14",0.200160282297159,0.154891284900475,1.29226303743152,0.196266067794925,"benefit","L","FC"
"dist_x",-0.339684800189163,0.0701632392446385,-4.84135002668252,0.00000128959985053412,"benefit","L","FC"
"I(dist_x^2)",-0.713039525550422,0.0361881630923593,-19.7036672939327,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000002005533421436,"benefit","L","FC"
"I(dist_z^2)",-0.787758350299372,0.0385162096503292,-20.4526446774245,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000569049079843621,"benefit","L","FC"
"release_spin_rate",0.00034747678489057,0.000152148680085809,2.2837975636371,0.0223834309329523,"benefit","L","FC"
"pred",21.3781616743312,1.97836281246975,10.8059864144146,0.00000000000000000000000000322472230226206,"benefit","L","FC"
"(Intercept)",-9.60084855756661,1.32357986211317,-7.25369796895996,0.000000000000405543908029206,"whiff","R","SI"
"pitch_speed",0.0266103699953028,0.0150667469401999,1.76616558975337,0.0773680721605392,"whiff","R","SI"
"pfx_x",0.0784568355876853,0.030176552047541,2.59992710446449,0.00932435651073899,"whiff","R","SI"
"pfx_z",-0.0926801026030823,0.0180552769167882,-5.13313105250167,0.000000284961338005369,"whiff","R","SI"
"pfx_total",0.114707715974787,0.0359752782291898,3.18851504758383,0.00143005566684739,"whiff","R","SI"
