"","x","z","phand","response","bhand","pitch","pred"
"354",-2,-1.7,"right","benefit","left","fastball",-7.11118289626491
"355",-2,-1.7,"right","benefit","left","sinker",-6.91361027287249
"356",-2,-1.7,"right","benefit","left","slider",-2.34795916209092
"357",-2,-1.7,"right","benefit","left","splitter",-5.27939600499994
"358",-2,-1.7,"right","benefit","right","changeup",-4.21527875848579
"359",-2,-1.7,"right","benefit","right","curveball",-3.45720419160509
"360",-2,-1.7,"right","benefit","right","cutter",-3.80782647010884
"361",-2,-1.7,"right","benefit","right","fastball",-6.9562821033407
"362",-2,-1.7,"right","benefit","right","sinker",-6.52785119004493
"363",-2,-1.7,"right","benefit","right","slider",-2.60476573399655
"364",-2,-1.7,"right","benefit","right","splitter",-3.7261634127525
"365",-2,-1.7,"right","whiff","left","changeup",-0.828646028279595
"366",-2,-1.7,"right","whiff","left","curveball",0.118810231785594
"367",-2,-1.7,"right","whiff","left","cutter",-0.702480180674932
"368",-2,-1.7,"right","whiff","left","fastball",-7.25534290681085
"369",-2,-1.7,"right","whiff","left","sinker",-3.76383882811999
"370",-2,-1.7,"right","whiff","left","slider",1.96325418042911
"371",-2,-1.7,"right","whiff","left","splitter",-0.765470583804923
"372",-2,-1.7,"right","whiff","right","changeup",-1.43777587744754
"373",-2,-1.7,"right","whiff","right","curveball",0.339692237248666
"374",-2,-1.7,"right","whiff","right","cutter",1.68111555573102
"375",-2,-1.7,"right","whiff","right","fastball",-6.00103092556459
"376",-2,-1.7,"right","whiff","right","sinker",-1.87109158419913
"377",-2,-1.7,"right","whiff","right","slider",1.47188904167405
"378",-2,-1.7,"right","whiff","right","splitter",0.613064337521543
"379",-2,-1.6,"right","barrel","left","changeup",-10.2698705757253
"380",-2,-1.6,"right","barrel","left","curveball",-9.32409983363623
"381",-2,-1.6,"right","barrel","left","cutter",-5.86875519352738
"382",-2,-1.6,"right","barrel","left","fastball",-6.1640649108541
"383",-2,-1.6,"right","barrel","left","sinker",-12.2991843184489
"384",-2,-1.6,"right","barrel","left","slider",-7.5327986984983
"385",-2,-1.6,"right","barrel","left","splitter",-13.4718486672046
"386",-2,-1.6,"right","barrel","right","changeup",-11.7246585895598
"387",-2,-1.6,"right","barrel","right","curveball",-14.3888659895983
"388",-2,-1.6,"right","barrel","right","cutter",-10.7086273538572
"389",-2,-1.6,"right","barrel","right","fastball",-7.36957224970309
"390",-2,-1.6,"right","barrel","right","sinker",-8.09327094751088
"391",-2,-1.6,"right","barrel","right","slider",-10.9532313442765
"392",-2,-1.6,"right","barrel","right","splitter",-14.2990700358623
"393",-2,-1.6,"right","benefit","left","changeup",-5.65349376552991
"394",-2,-1.6,"right","benefit","left","curveball",-4.11758942411894
"395",-2,-1.6,"right","benefit","left","cutter",-4.18944987858976
"396",-2,-1.6,"right","benefit","left","fastball",-6.63108632422392
"397",-2,-1.6,"right","benefit","left","sinker",-6.49179138777563
"398",-2,-1.6,"right","benefit","left","slider",-2.25557737055072
"399",-2,-1.6,"right","benefit","left","splitter",-5.0944371289151
"400",-2,-1.6,"right","benefit","right","changeup",-3.97575720791894
"401",-2,-1.6,"right","benefit","right","curveball",-3.38510288971914
"402",-2,-1.6,"right","benefit","right","cutter",-3.601597332137
"403",-2,-1.6,"right","benefit","right","fastball",-6.46367731752024
"404",-2,-1.6,"right","benefit","right","sinker",-6.09980920757053
"405",-2,-1.6,"right","benefit","right","slider",-2.49494262135401
"406",-2,-1.6,"right","benefit","right","splitter",-3.5915890579313
"407",-2,-1.6,"right","whiff","left","changeup",-0.668525334794906
"408",-2,-1.6,"right","whiff","left","curveball",0.221065649173657
"409",-2,-1.6,"right","whiff","left","cutter",-0.5807399698468
"410",-2,-1.6,"right","whiff","left","fastball",-6.84493687897666
"411",-2,-1.6,"right","whiff","left","sinker",-3.58342990634371
"412",-2,-1.6,"right","whiff","left","slider",2.11125562013867
"413",-2,-1.6,"right","whiff","left","splitter",-0.555315608294718
"414",-2,-1.6,"right","whiff","right","changeup",-1.21163183697206
"415",-2,-1.6,"right","whiff","right","curveball",0.4212978279744
"416",-2,-1.6,"right","whiff","right","cutter",1.82670071891847
"417",-2,-1.6,"right","whiff","right","fastball",-5.59923277406003
"418",-2,-1.6,"right","whiff","right","sinker",-1.78583709628776
"419",-2,-1.6,"right","whiff","right","slider",1.58363896067699
"420",-2,-1.6,"right","whiff","right","splitter",0.817517871372608
"421",-2,-1.5,"right","barrel","left","changeup",-9.80467635187016
"422",-2,-1.5,"right","barrel","left","curveball",-8.8856562042659
"423",-2,-1.5,"right","barrel","left","cutter",-5.49287385767472
"424",-2,-1.5,"right","barrel","left","fastball",-5.81792921370921
"425",-2,-1.5,"right","barrel","left","sinker",-11.744151205376
"426",-2,-1.5,"right","barrel","left","slider",-7.04902351394434
