"","first_name","last_name","player_id","pitch_hand","team","pitch_type","pitch_name","pitches","pitch_usage","pitch_speed","spin_rate","pitcher_break_x","pitcher_break_z","rv100","run_value","PA","AVG","SLG","wOBA","whiff_percent","k_percent","put_away","xBA","xSLG","xwOBA","hard_hit_percent"
"368","Nick","Nelson",656793,"R","PHI","FF","4-Seamer",517,42.9,96.3,1969,6.6,13.2,-0.1,0,138,0.3,0.409,0.359,21.1,16.7,20.7,0.251,0.401,0.347,41.5
"369","Miles","Mikolas",571945,"R","STL","CU","Curveball",666,21.1,76.1,2553,8.7,63.3,0.2,1,137,0.227,0.359,0.28,18.9,16.1,10.9,0.246,0.368,0.291,33.6
"370","Bryan","Abreu",650556,"R","HOU","SL","Slider",450,44.2,88.4,2766,8.2,37.8,1.8,8,137,0.163,0.22,0.229,51.5,46,34.6,0.163,0.213,0.219,28.3
"371","Patrick","Sandoval",663776,"L","LAA","FF","4-Seamer",561,22.8,93.1,2037,4,15.1,-0.8,-5,137,0.372,0.558,0.444,12.9,8.8,10.4,0.319,0.521,0.412,40.4
"372","Félix","Bautista",642585,"R","BAL","FF","4-Seamer",610,61.3,99.2,2341,7.3,8.2,2.3,14,137,0.202,0.342,0.308,24.1,16.8,18.4,0.238,0.381,0.338,41.9
"373","Johnny","Cueto",456501,"R","CWS","CH","Changeup",477,20.1,82.6,1325,12.2,36,-0.3,-1,137,0.252,0.354,0.297,22.7,18.2,14.5,0.269,0.398,0.319,32.4
"374","Luis","Cessa",570666,"R","CIN","SL","Slider",481,38.9,82.9,2528,5.6,44.2,-0.4,-2,137,0.202,0.452,0.317,34.5,33.6,23.7,0.208,0.417,0.302,41.8
"375","Jonathan","Loáisiga",642528,"R","NYY","SI","Sinker",482,63.3,98,2317,16.2,17.2,0.6,3,137,0.289,0.347,0.339,19,9.5,11.8,0.273,0.372,0.331,30.6
"376","Ryne","Stanek",592773,"R","HOU","FF","4-Seamer",523,58.4,98.3,2307,10.2,10.8,2.7,14,137,0.168,0.265,0.278,31.9,23.4,24.2,0.208,0.374,0.323,49.4
"377","Dane","Dunning",641540,"R","TEX","SL","Slider",710,27.9,78.7,2081,7.5,48.5,-0.8,-5,136,0.202,0.435,0.289,38.4,35.3,18.8,0.204,0.378,0.292,36.7
"378","Dylan","Bundy",605164,"R","MIN","CH","Changeup",408,18.7,81.1,1361,12.2,35.3,-0.8,-3,136,0.291,0.47,0.326,19,11,12.2,0.314,0.467,0.337,44.2
"379","Jordan","Romano",605447,"R","TOR","SL","Slider",512,51.8,87.3,2082,4.2,36.9,1.4,7,136,0.205,0.307,0.273,33.7,29.4,25.3,0.233,0.37,0.295,43.7
"380","Tyler","Wells",669330,"R","BAL","FC","Cutter",448,27.2,87.5,2537,4.9,28.1,0.1,1,136,0.217,0.342,0.293,25.5,20.6,16.9,0.215,0.312,0.284,33
"381","Zach","Eflin",621107,"R","PHI","SI","Sinker",476,39.9,92.7,2048,17,24.6,-0.1,-1,136,0.289,0.469,0.358,13.5,13.2,17.3,0.255,0.406,0.31,35.1
"382","Andrew","Bellatti",571479,"R","PHI","SL","Slider",505,52.4,85.9,2398,3.6,33.3,0.1,0,135,0.203,0.358,0.274,41.6,40.7,29.4,0.189,0.328,0.26,29
"383","Julio","Urías",628711,"L","LAD","CH","Changeup",458,17.5,86.2,1950,13.9,30,-0.5,-2,135,0.206,0.298,0.247,30,23,16.5,0.219,0.293,0.237,22
"384","José","Urquidy",664353,"R","HOU","CH","Changeup",392,14.8,86.1,2006,15.8,23.6,0,0,135,0.24,0.395,0.305,27.3,21.5,19,0.21,0.35,0.261,26
"385","Glenn","Otto",657248,"R","TEX","FF","4-Seamer",517,23.2,92.1,2264,4.2,17.1,-1,-5,135,0.264,0.425,0.381,24.3,15.6,17.5,0.279,0.467,0.398,50
"386","Ranger","Suárez",624133,"L","PHI","CH","Changeup",552,21.5,84.9,1522,14.6,32.3,-0.1,-1,135,0.238,0.369,0.308,34.5,23,16,0.234,0.316,0.274,26.6
"387","Nick","Pivetta",601713,"R","BOS","FC","Cutter",521,16.9,86.2,2294,5.5,32.3,1.3,7,134,0.202,0.319,0.272,31.4,21.6,16.2,0.219,0.39,0.305,44
"388","Chase","De Jong",608328,"R","PIT","FF","4-Seamer",547,46.6,92.8,2412,1.2,13.2,0.2,1,134,0.209,0.491,0.375,14.4,9.7,9.2,0.243,0.493,0.38,45.9
"389","Mitch","White",669952,"R","TOR","ST","Sweeper",467,27.2,85.4,2455,9.2,38.3,0.7,3,133,0.26,0.37,0.289,32.3,29.3,20.7,0.228,0.343,0.266,31.1
