"","batter_name","batter_id","PA","H","HR","k_percent","bb_percent","AVG","SLG","OBP","OPS","SB","wOBA","xwOBA","EV","sweet_spot_percent","barrel_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent"
"31","Taylor, Tyrone",621438,405,87,17,25.2,5.4,0.233,0.442,0.286,0.728,3,0.314,0.307,88,34.7,9.9,7.3,20.8,27.7,28.1,5.8,37.6
"32","Sierra, Magneuris",642423,96,15,0,26,4.2,0.165,0.242,0.2,0.442,6,0.195,0.212,82.2,22.4,0,1.5,19.4,25.4,35.8,17.9,16.4
"33","Gamel, Ben",592325,423,86,9,23.2,11.3,0.232,0.369,0.324,0.693,5,0.308,0.316,88.8,38,6.2,6.2,28.8,24.1,29.6,4.4,37.6
"34","Donovan, Brendan",680977,468,110,5,15,12.8,0.281,0.379,0.394,0.773,2,0.349,0.339,87.7,32.7,3.4,4.9,28.7,17.9,40.7,4,37.7
"35","Bohm, Alec",664761,631,164,13,17.4,4.9,0.28,0.398,0.315,0.713,2,0.31,0.333,90.2,37.7,6.8,6,29.8,21.6,33.3,2.5,43
"36","Allen, Greg",656185,134,22,2,31.3,7.5,0.186,0.271,0.26,0.531,8,0.242,0.229,87.6,25,2.5,5,22.5,22.5,36.3,11.3,32.5
"37","Henderson, Gunnar",683002,132,30,4,25.8,12.1,0.259,0.44,0.348,0.788,1,0.343,0.338,92.4,25.6,9.8,6.1,23.2,12.2,45.1,3.7,53.7
"38","Garcia, Luis",671277,377,99,7,22.3,2.9,0.275,0.408,0.295,0.703,3,0.303,0.305,87.3,37.4,7.5,7.1,27,14.6,38.8,5,36.7
"39","Duran, Ezequiel",677649,220,49,5,24.5,5.5,0.236,0.365,0.277,0.642,4,0.282,0.256,85.9,24.7,4.5,6.5,18.2,24,42.2,3.2,31.8
"40","Williams, Luke",663897,136,30,1,32.4,6.6,0.236,0.315,0.287,0.602,11,0.265,0.233,83.3,36.1,3.6,4.8,27.7,31.3,24.1,8.4,22.9
"41","Sanchez, Jesus",660821,343,67,13,26.8,7.6,0.214,0.403,0.28,0.683,1,0.298,0.298,89.5,25.7,9.9,3.2,21.2,25.7,35.1,5,40.5
"42","Belt, Brandon",474832,298,54,8,27.2,12.4,0.213,0.35,0.326,0.676,1,0.303,0.326,88.4,38.5,12.6,6.3,20.1,35.1,17.8,8,38.5
"43","Palacios, Richie",680700,123,26,0,16.3,7.3,0.232,0.286,0.293,0.579,2,0.258,0.277,85,26.9,1.1,2.2,30.1,26.9,33.3,5.4,21.5
"44","Marte, Ketel",606466,558,118,12,18.1,9.9,0.24,0.407,0.321,0.728,5,0.317,0.315,90.1,31.6,6.1,5.8,28,27.3,29.5,3,41.9
"45","Haniger, Mitch",571745,247,55,11,26.3,8.1,0.246,0.429,0.308,0.737,0,0.319,0.328,91.9,31.1,11.8,8.1,21.7,30.4,25.5,2.5,47.2
"46","Celestino, Gilberto",665482,347,74,2,22.2,9.2,0.238,0.302,0.313,0.615,4,0.28,0.27,87.3,27.1,2.5,4.2,22.9,15.7,47,6.8,34.3
"47","Marcano, Tucupita",672779,177,33,2,24.9,5.6,0.206,0.306,0.256,0.562,2,0.249,0.21,84.7,30.3,1.6,6.6,18.9,29.5,33.6,9.8,17.2
"48","Burger, Jake",669394,183,42,8,30.6,5.5,0.25,0.458,0.302,0.76,0,0.327,0.318,90.7,33.3,14.9,6.1,16.7,26.3,28.9,5.3,43
"49","Kemp, Tony",643393,558,117,7,12.4,8.1,0.235,0.334,0.307,0.641,11,0.287,0.267,84.4,33.9,1.6,4.1,23.6,30,33,7.3,14.9
"50","Straw, Myles",664702,596,118,0,14.6,9.1,0.221,0.273,0.291,0.564,21,0.257,0.275,87,34.1,0.7,4.8,25.1,28.6,35.9,4.4,26.5
"51","Benintendi, Andrew",643217,521,140,5,14.8,10,0.304,0.399,0.373,0.772,8,0.342,0.334,89.2,39.2,5.1,6.2,30,25.1,30.8,2.8,38.7
"52","Cron, C.J.",543068,632,148,29,25.9,6.8,0.257,0.468,0.315,0.783,0,0.335,0.32,88.7,36.8,10.8,5.5,24.3,26.7,28.4,4.1,42.3
"53","McKinstry, Zach",656716,185,33,5,28.1,8.6,0.199,0.361,0.273,0.634,7,0.28,0.288,86.4,41.4,4.3,6,31,25.9,26.7,6,30.2
"54","Smith, Pavin",656976,277,54,9,24.2,10.1,0.22,0.367,0.3,0.667,1,0.294,0.301,87.9,28.7,9.9,3.3,21.5,29.3,30.9,5,35.9
"55","Perez, Michael",605421,132,18,6,24.2,7.6,0.149,0.298,0.214,0.512,1,0.228,0.276,88.8,35.6,7.8,8.9,20,34.4,24.4,4.4,36.7
"56","Knizner, Andrew",668800,293,56,4,21.2,8.9,0.215,0.3,0.301,0.601,0,0.275,0.28,86,28.6,3.5,3.5,26.1,29.6,31.7,5.5,33.2
"57","Altuve, Jose",514888,604,158,28,14.4,10.9,0.3,0.533,0.387,0.92,18,0.397,0.354,85.9,35.4,7.7,6.6,22.2,25.6,29.7,7.5,29.7
"58","Mullins II, Cedric",656775,672,157,16,18.8,7,0.258,0.403,0.318,0.721,34,0.315,0.288,88.8,29.3,4.9,5.9,23,32.4,28.7,4.5,37.3
"59","Soler, Jorge",624585,306,56,13,29.4,10.1,0.207,0.4,0.295,0.695,0,0.305,0.322,91.2,33.1,12.2,6.6,22.1,27.6,27.6,3.3,43.6
