"","batter_name","batter_id","PA","H","HR","k_percent","bb_percent","AVG","SLG","OBP","OPS","SB","wOBA","xwOBA","EV","sweet_spot_percent","barrel_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent"
"527","Reyes, Pablo",622569,16,4,0,12.5,6.3,0.267,0.267,0.313,0.58,0,0.264,0.187,83.6,15.4,0,0,7.7,30.8,46.2,15.4,7.7
"528","Pina, Manny",444489,17,2,0,5.9,5.9,0.143,0.143,0.235,0.378,0,0.187,0.298,81.9,14.3,7.1,0,7.1,28.6,35.7,14.3,21.4
"529","Guthrie, Dalton",656495,28,7,1,25,21.4,0.333,0.476,0.5,0.976,1,0.437,0.363,76.8,50,7.1,0,28.6,28.6,21.4,14.3,14.3
"530","Ramos, Heliot",671218,22,2,0,27.3,9.1,0.1,0.1,0.182,0.282,0,0.143,0.29,87.4,21.4,7.1,0,21.4,21.4,42.9,7.1,42.9
"531","Haseley, Adam",656514,25,5,0,28,12,0.238,0.238,0.333,0.571,0,0.27,0.266,84,13.3,0,0,20,0,66.7,13.3,33.3
"532","Lee, Korey",686676,26,4,0,34.6,3.8,0.16,0.24,0.192,0.432,0,0.192,0.12,83.6,12.5,0,0,6.3,37.5,56.3,0,25
"533","Beckham, Tim",542921,25,2,0,36,0,0.08,0.08,0.08,0.16,0,0.071,0.181,90.5,12.5,0,6.3,25,12.5,50,6.3,50
"534","DeLuzio, Ben",641512,25,3,0,20,12,0.15,0.2,0.292,0.492,0,0.242,0.33,72.8,37.5,0,0,31.3,25,18.8,25,12.5
"535","Perez, Carlos",656024,18,4,0,11.1,0,0.222,0.333,0.222,0.555,0,0.238,0.234,82.4,25,0,6.3,18.8,37.5,37.5,0,12.5
"536","Siani, Michael",672279,24,4,0,29.2,0,0.167,0.167,0.167,0.334,0,0.147,0.161,81,29.4,0,5.9,23.5,35.3,11.8,23.5,23.5
"537","Proctor, Ford",665154,22,2,1,13.6,9.1,0.111,0.278,0.182,0.46,0,0.197,0.296,89.4,29.4,5.9,11.8,17.6,0,58.8,5.9,29.4
"538","Rivero, Sebastian",665861,29,4,0,34.5,6.9,0.154,0.154,0.214,0.368,0,0.175,0.221,87.2,17.6,5.9,5.9,17.6,29.4,29.4,11.8,35.3
"539","Garcia, Maikel",672580,23,7,0,21.7,4.3,0.318,0.364,0.348,0.712,0,0.315,0.242,85.9,29.4,0,0,17.6,29.4,52.9,0,29.4
"540","Payton, Mark",592622,25,3,0,16,16,0.143,0.143,0.28,0.423,0,0.216,0.236,84.6,11.8,0,0,17.6,41.2,35.3,5.9,11.8
"541","Plummer, Nick",663911,31,4,2,38.7,3.2,0.138,0.379,0.194,0.573,0,0.248,0.28,89.1,47.1,11.8,0,35.3,23.5,23.5,5.9,41.2
"542","Thomas, Cody",642137,32,8,0,37.5,6.3,0.267,0.267,0.313,0.58,0,0.264,0.247,89.5,33.3,0,11.1,27.8,16.7,44.4,0,38.9
"543","Fox, Lucius",665650,28,2,0,32.1,3.6,0.08,0.08,0.115,0.195,1,0.094,0.182,81.8,11.1,5.6,0,11.1,11.1,55.6,16.7,33.3
"544","Alvarez, Eddy",657193,27,4,0,33.3,0,0.16,0.16,0.154,0.314,1,0.136,0.179,88,22.2,0,0,33.3,27.8,27.8,11.1,27.8
"545","Florial, Estevan",664314,35,3,0,37.1,8.6,0.097,0.097,0.2,0.297,2,0.155,0.235,85.6,16.7,5.6,5.6,16.7,22.2,38.9,11.1,27.8
"546","Hernandez, Elier",609274,35,6,0,42.9,2.9,0.182,0.242,0.2,0.442,0,0.193,0.183,84,36.8,5.3,0,31.6,47.4,10.5,5.3,15.8
"547","Downs, Jeter",669023,41,6,1,51.2,2.4,0.154,0.256,0.171,0.427,0,0.184,0.153,82.9,26.3,0,5.3,31.6,36.8,21.1,5.3,21.1
"548","Martin Jr., Richie",621006,33,5,0,30.3,9.1,0.167,0.3,0.242,0.542,3,0.24,0.241,86.5,30,5,5,25,25,30,10,35
"549","Goodrum, Niko",592348,45,5,0,51.1,4.4,0.116,0.163,0.156,0.319,1,0.146,0.205,81.9,20,5,5,30,15,30,15,35
"550","Henry, Payton",668721,35,4,0,22.9,14.3,0.143,0.143,0.314,0.457,0,0.241,0.279,79.5,15,0,0,25,10,65,0,10
"551","Schrock, Max",621011,27,4,0,22.2,3.7,0.154,0.154,0.185,0.339,0,0.156,0.203,82.8,25,0,5,20,35,35,5,25
"552","Murphy, Tom",608596,42,10,1,31,19,0.303,0.455,0.439,0.894,0,0.397,0.42,94.3,45,20,5,35,15,20,5,60
"553","Gutierrez, Kelvin",642721,33,4,0,24.2,12.1,0.143,0.179,0.25,0.429,1,0.208,0.284,89.6,25,5,15,10,15,50,0,35
"554","Rooker Jr., Brent",667670,36,4,0,30.6,8.3,0.125,0.156,0.222,0.378,0,0.186,0.264,87.8,33.3,4.8,14.3,19,28.6,19,14.3,42.9
"555","Davidson, Matt",571602,37,5,2,35.1,8.1,0.147,0.324,0.216,0.54,0,0.24,0.29,87.3,23.8,14.3,0,19,28.6,28.6,9.5,33.3
"556","Hernandez, Yonny",660634,28,2,0,14.3,7.1,0.083,0.083,0.154,0.237,2,0.121,0.202,82.3,22.7,0,4.5,9.1,4.5,63.6,18.2,13.6
"557","Sosa, Lenyn",672820,36,4,1,33.3,2.8,0.114,0.229,0.139,0.368,0,0.161,0.243,86.6,30.4,8.7,0,13,26.1,47.8,4.3,26.1
