"","x","z","response","hand","pitch","pred"
"335",-2,-1.2,"whiff","right","fastball",-6.11002309381382
"336",-2,-1.2,"whiff","right","slider",-4.21558010620506
"337",-2,-1.1,"barrel","left","changeup",-8.29743184121197
"338",-2,-1.1,"barrel","left","curveball",-7.74094157866843
"339",-2,-1.1,"barrel","left","fastball",-6.60769036775304
"340",-2,-1.1,"barrel","left","slider",-6.97575116874014
"341",-2,-1.1,"barrel","right","changeup",-3.83341724500495
"342",-2,-1.1,"barrel","right","curveball",-18.2142838104113
"343",-2,-1.1,"barrel","right","fastball",-5.53051710689764
"344",-2,-1.1,"barrel","right","slider",-5.43866037133867
"345",-2,-1.1,"strike","left","changeup",-5.46063082011617
"346",-2,-1.1,"strike","left","curveball",-5.14494551859799
"347",-2,-1.1,"strike","left","fastball",-10.2933108428835
"348",-2,-1.1,"strike","left","slider",-4.64110401893738
"349",-2,-1.1,"strike","right","changeup",-6.38537481785466
"350",-2,-1.1,"strike","right","curveball",-5.09246336839661
"351",-2,-1.1,"strike","right","fastball",-10.4414849483607
"352",-2,-1.1,"strike","right","slider",-4.10232537960216
"353",-2,-1.1,"whiff","left","changeup",-1.99161706934608
"354",-2,-1.1,"whiff","left","curveball",-4.76484672954733
"355",-2,-1.1,"whiff","left","fastball",-6.68641702951337
"356",-2,-1.1,"whiff","left","slider",-6.49869149108923
"357",-2,-1.1,"whiff","right","changeup",-2.74949743823215
"358",-2,-1.1,"whiff","right","curveball",-4.46817883038248
"359",-2,-1.1,"whiff","right","fastball",-5.7916693524509
"360",-2,-1.1,"whiff","right","slider",-4.13490862814481
"361",-2,-1,"barrel","left","changeup",-7.98236849025445
"362",-2,-1,"barrel","left","curveball",-7.47622176717871
"363",-2,-1,"barrel","left","fastball",-6.37399056900899
"364",-2,-1,"barrel","left","slider",-6.63644447907469
"365",-2,-1,"barrel","right","changeup",-3.57464406073652
"366",-2,-1,"barrel","right","curveball",-17.549903886407
"367",-2,-1,"barrel","right","fastball",-5.2797431449514
"368",-2,-1,"barrel","right","slider",-5.11489673315694
"369",-2,-1,"strike","left","changeup",-5.26035047926647
"370",-2,-1,"strike","left","curveball",-4.99370094408174
"371",-2,-1,"strike","left","fastball",-9.86094507780376
"372",-2,-1,"strike","left","slider",-4.49144523972452
"373",-2,-1,"strike","right","changeup",-6.13923458065931
"374",-2,-1,"strike","right","curveball",-4.94477338277581
"375",-2,-1,"strike","right","fastball",-10.0244279718419
"376",-2,-1,"strike","right","slider",-3.98595338110386
"377",-2,-1,"whiff","left","changeup",-1.91582980329785
"378",-2,-1,"whiff","left","curveball",-4.65708837330419
"379",-2,-1,"whiff","left","fastball",-6.34218131810909
"380",-2,-1,"whiff","left","slider",-6.3419041900917
"381",-2,-1,"whiff","right","changeup",-2.62750969935912
"382",-2,-1,"whiff","right","curveball",-4.35409929472081
"383",-2,-1,"whiff","right","fastball",-5.49121756879647
"384",-2,-1,"whiff","right","slider",-4.06578427511029
"385",-2,-0.9,"barrel","left","changeup",-7.69528887841176
"386",-2,-0.9,"barrel","left","curveball",-7.2468873189286
"387",-2,-0.9,"barrel","left","fastball",-6.16250177409579
"388",-2,-0.9,"barrel","left","slider",-6.34218458860874
"389",-2,-0.9,"barrel","right","changeup",-3.33961344820815
"390",-2,-0.9,"barrel","right","curveball",-16.9440722175498
"391",-2,-0.9,"barrel","right","fastball",-5.04986468313613
"392",-2,-0.9,"barrel","right","slider",-4.82407176110736
"393",-2,-0.9,"strike","left","changeup",-5.0812465994997
"394",-2,-0.9,"strike","left","curveball",-4.85890855202503
"395",-2,-0.9,"strike","left","fastball",-9.46751889723737
"396",-2,-0.9,"strike","left","slider",-4.3571805278892
"397",-2,-0.9,"strike","right","changeup",-5.9182794408704
"398",-2,-0.9,"strike","right","curveball",-4.81182197306768
"399",-2,-0.9,"strike","right","fastball",-9.64482400798459
"400",-2,-0.9,"strike","right","slider",-3.88290511749138
"401",-2,-0.9,"whiff","left","changeup",-1.85929733843534
"402",-2,-0.9,"whiff","left","curveball",-4.57419013571393
"403",-2,-0.9,"whiff","left","fastball",-6.01977676355697
"404",-2,-0.9,"whiff","left","slider",-6.20337857331258
"405",-2,-0.9,"whiff","right","changeup",-2.53322512596756
"406",-2,-0.9,"whiff","right","curveball",-4.25512289744925
"407",-2,-0.9,"whiff","right","fastball",-5.20866774285055
"408",-2,-0.9,"whiff","right","slider",-4.00820704710148
"409",-2,-0.8,"barrel","left","changeup",-7.43619300568392
"410",-2,-0.8,"barrel","left","curveball",-7.05293823391809
"411",-2,-0.8,"barrel","left","fastball",-5.97322398301343
"412",-2,-0.8,"barrel","left","slider",-6.09297149734229
"413",-2,-0.8,"barrel","right","changeup",-3.12832540741982
"414",-2,-0.8,"barrel","right","curveball",-16.3967888038396
"415",-2,-0.8,"barrel","right","fastball",-4.84088172145181
"416",-2,-0.8,"barrel","right","slider",-4.56618545518992
"417",-2,-0.8,"strike","left","changeup",-4.92331918081586
"418",-2,-0.8,"strike","left","curveball",-4.74056834242786
"419",-2,-0.8,"strike","left","fastball",-9.11303230118436
"420",-2,-0.8,"strike","left","slider",-4.2383098834314
"421",-2,-0.8,"strike","right","changeup",-5.72250939848794
"422",-2,-0.8,"strike","right","curveball",-4.69360913927222
"423",-2,-0.8,"strike","right","fastball",-9.30267305678886
"424",-2,-0.8,"strike","right","slider",-3.79318058876474
"425",-2,-0.8,"whiff","left","changeup",-1.82201967475853
"426",-2,-0.8,"whiff","left","curveball",-4.51615201677656
"427",-2,-0.8,"whiff","left","fastball",-5.719203365857
"428",-2,-0.8,"whiff","left","slider",-6.08311464075184
"429",-2,-0.8,"whiff","right","changeup",-2.46664371805748
"430",-2,-0.8,"whiff","right","curveball",-4.17124963856778
"431",-2,-0.8,"whiff","right","fastball",-4.94401987461313
"432",-2,-0.8,"whiff","right","slider",-3.96217694411839
"433",-2,-0.7,"barrel","left","changeup",-7.20508087207091
"434",-2,-0.7,"barrel","left","curveball",-6.89437451214718
"435",-2,-0.7,"barrel","left","fastball",-5.80615719576193
